,dialogue,label
24,"What have we been talking about ? Yeah , no- more-liquor-stores . Besides , it ai not the giggle it usta be . Too many foreigner own liquor store . Vietnamese , Koreans , they can not fucking speak English . You tell 'em : `` Empty out the register , '' and they do not know what it fucking mean . They make it too personal . We keep on , one of those gook motherfucker ' gon na make u kill 'em .",Hate
26,"I do not wan na kill anybody either . But they will probably put u in a situation where it is u of them . And if it is not the gook , it these old Jews who have owned the store for fifteen fucking generation . Ya got Grandpa Irving sitting behind the counter with a fucking Magnum . Try walking into one of those store with nothing but a telephone , see how far it get you . Fuck it , forget it , we are out of it .",Hate
51,Any of you fucking prick move and I will execute every one of you motherfucker ! Got that ?,Hate
57,"Yeah , it break down like this : it is legal to buy it , it is legal to own it and , if you are the proprietor of a hash bar , it is legal to sell it . It is legal to carry it , which doe not really matter 'cause – get a load of this – if the cop stop you , it is illegal for this to search you . Searching you is a right that the cop in Amsterdam do not have .",Hate
106,"Sent a couple of guy over to his place . They took him out on the patio of his apartment , threw his as over the balcony . Nigger fell four story . They had this garden at the bottom , enclosed in glass , like one of them greenhouse – nigger fell through that . Since then , he is kinda developed a speech impediment .",Hate
124,How many ? Fuck you .,Hate
136,Mia . Why you so interested in big man is wife ?,Hate
214,"Yes ya did Brett . Ya tried ta fuck 'im . You ever read the Bible , Brett ?",Hate
216,"There is a passage I got memorized , seems appropriate for this situation : Ezekiel 25:17 . `` The path of the righteous man is beset on all side by the inequity of the selfish and the tyranny of evil men . Blessed is he who , in the name of charity and good will , shepherd the weak through the valley of darkness , for he is truly his brother is keeper and the finder of lost child . And I will strike down upon thee with great vengeance and furious anger those who attempt to poison and destroy my brother . And you will know my name is the Lord when I lay my vengeance upon you . ''",Hate
227,"Hand back for a second or two , and when you see the white boy leave , go on over . In the meanwhile , can I make you an espresso ?",Hate
256,"Am I a nigger ? Are you in Inglewood ? No . You are in my house . White people who know the difference between good shit and bad shit , this is the house they come to . My shit , I will take the Pepsi Challenge with Amsterdam shit any ol ' day of the fucking week .",Hate
279,It is on the wall by the two African fella .,Hate
326,"`` Fox Force Five . `` Fox , a in we are a bunch of foxy chick . Force , a in we are a force to be reckoned with . Five , a in there is one ... two ... three ... four ... five of u . There wa a blonde one , Sommerset O'Neal from that show `` Baton Rouge , '' she wa the leader . A Japanese one , a black one , a French one and a brunette one , me . We all had special skill . Sommerset had a photographic memory , the Japanese fox wa a kung fu master , the black girl wa a demolition expert , the French fox ' specialty wa sex ...",Hate
