,dialogue,label
2,"I know that is what I always say . I am always right too , but –",Neither
3,"yeah , well , the day of me forgitting are over , and the day of me remembering have just begun .",Neither
4,"When you go on like this , you know what you sound like ?",Neither
5,"I sound like a sensible fucking man , is what I sound like .",Neither
6,You sound like a duck .,Neither
9,After tonight .,Neither
10,Correct . I got all tonight to quack .,Neither
11,Can I get anybody anymore coffee ?,Neither
12,"Oh yes , thank you .",Neither
13,I am doing fine .,Neither
14,"I mean the way it is now , you are taking the same fucking risk a when you rob a bank . You take more of a risk . Banks are easier ! Federal bank are not supposed to stop you anyway , during a robbery . They are insured , why should they care ? You do not even need a gun in a federal bank . I heard about this guy , walked into a federal bank with a portable phone , handed the phone to the teller , the guy on the other end of the phone said : `` We got this guy is little girl , and if you do not give him all your money , we are gon na kill 'er . ''",Neither
15,Did it work ?,Neither
17,Did they hurt the little girl ?,Neither
18,I do not know . There probably never wa a little girl – the point of the story is not the little girl . The point of the story is they robbed the bank with a telephone .,Neither
20,"I am not saying I wan na rob bank , I am just illustrating that if we did , it would be easier than what we been doing .",Neither
21,So you do not want to be a bank robber ?,Neither
23,And no more liquor store ?,Neither
27,"Well , what else is there , day job ?",Neither
28,( laughing ) Not this life .,Neither
29,Well what then ?,Neither
30,Garcon ! Coffee !,Neither
31,This place .,Neither
33,"Correct . Just like bank , these place are insured . The manager do not give a fuck , they are just trying to get ya out the door before you start plugging diner .",Neither
35,"See , I got the idea last liquor store we stuck up . 'Member all those customer kept coming in ?",Neither
36,They you got the idea to take everybody is wallet .,Neither
37,That wa a good idea .,Neither
38,Thanks .,Neither
39,We made more from the wallet then we did the register .,Neither
40,Yes we did .,Neither
41,A lot of people go to restaurant .,Neither
42,A lot of wallet .,Neither
44,Pretty smart .,Neither
45,"I am ready , let is go , right here , right now .",Neither
46,"Remember , same a before , you are crowd control , I handle the employee .",Neither
47,Got it .,Neither
48,"I love you , Pumpkin .",Neither
52,"– Okay now , tell me about the hash bar ?",Neither
53,What so you want to know ?,Neither
54,"Well , hash is legal there , right ?",Neither
56,Those are hash bar ?,Neither
60,What ?,Neither
61,"It is the little difference . A lotta the same shit we got here , they got there , but there they are a little different .",Neither
62,Examples ?,Neither
63,"Well , in Amsterdam , you can buy beer in a movie theatre . And I do not mean in a paper cup either . They give you a glass of beer , like in a bar . In Paris , you can buy beer at MacDonald is . Also , you know what they call a Quarter Pounder with Cheese in Paris ?",Neither
64,They do not call it a Quarter Pounder with Cheese ?,Neither
66,What would they call it ?,Neither
67,Royale with Cheese .,Neither
69,"Big Mac is a Big Mac , but they call it Le Big Mac .",Neither
73,"I seen 'em do it . And I do not mean a little bit on the side of the plate , they fucking drown 'em in it .",Neither
74,Uuccch !,Neither
76,How many up there ?,Neither
77,Three or four .,Neither
78,Counting our guy ?,Neither
79,I am not sure .,Neither
80,So there could be five guy up there ?,Neither
81,It is possible .,Neither
83,What is her name ?,Neither
84,Mia .,Neither
85,How did Marsellus and her meet ?,Neither
88,I think her biggest deal wa she starred in a pilot .,Neither
89,What is a pilot ?,Neither
90,"Well , you know the show on TV ?",Neither
91,I do not watch TV .,Neither
92,"Yes , but you are aware that there is an invention called television , and on that invention they show show ?",Neither
93,Yeah .,Neither
94,"Well , the way they pick the show on TV is they make one show , and that show is called a pilot . And they show that one show to the people who pick the show , and on the strength of that one show , they decide if they want to make more show . Some get accepted and become TV program , and some do not , and become nothing . She starred in one of the one that became nothing .",Neither
95,"You remember Antwan Rockamora ? Half-black , half-Samoan , usta call him Tony Rocky Horror .",Neither
96,"Yeah maybe , fat right ?",Neither
98,"I think I know who you mean , what about him ?",Neither
102,Well what then ?,Neither
103,He gave her a foot massage .,Neither
104,That is all ?,Neither
107,That is a damn shame .,Neither
109,Whaddya mean ?,Neither
110,You do not be giving Marsellus Wallace is new bride a foot massage .,Neither
111,You do not think he overreacted ?,Neither
113,"It wa a foot massage , a foot massage is nothing , I give my mother a foot massage .",Neither
115,JULES,Neither
117,"Not the same thing , the same ballpark .",Neither
119,Have you ever given a foot massage ?,Neither
121,Given a lot of 'em ?,Neither
125,Would you give me a foot massage – I am kinda tired .,Neither
127,– this is the door .,Neither
128,What time is it ?,Neither
129,( checking his watch ) Seven-twenty-two in the morning .,Neither
130,"It ai not quite time , let is hang back .",Neither
134,"That is an interesting point , but let is get into character .",Neither
135,What is her name again ?,Neither
137,"Well , Marsellus is leaving for Florida and when he is gone , he want me to take care of Mia .",Neither
138,Take care of her ?,Neither
139,Not that ! Take her out . Show her a good time . Do not let her get lonely .,Neither
142,It is not a date .,Neither
144,We are doing okay .,Neither
145,Do you know who we are ?,Neither
146,"We are associate of your business partner Marsellus Wallace , you remember your business partner dont'ya ?",Neither
147,I am Brett .,Neither
148,"I thought so . Well , you remember your business partner Marsellus Wallace , dont'ya Brett ?",Neither
149,I remember him .,Neither
150,"Good for you . Looks like me and Vincent caught you at breakfast , sorry 'bout that . What'cha eating ?",Neither
151,Hamburgers .,Neither
152,Hamburgers . The cornerstone of any nutritious breakfast . What kinda hamburger ?,Neither
153,Cheeseburgers .,Neither
154,"No , I mean where did you get'em ? MacDonald is , Wendy is , Jack-in-the-Box , where ?",Neither
155,Big Kahuna Burger .,Neither
156,"Big Kahuna Burger . That is that Hawaiian burger joint . I heard they got some tasty burger . I ai not never had one myself , how are they ?",Neither
157,They are good .,Neither
158,Mind if I try one of yours ?,Neither
159,No .,Neither
160,"Yours is this one , right ?",Neither
161,Yeah .,Neither
162,"Vince , you ever try a Big Kahuna Burger ?",Neither
163,No .,Neither
165,I ai not hungry .,Neither
166,"Well , if you like hamburger give 'em a try sometime . Me , I can not usually eat 'em 'cause my girlfriend is a vegetarian . Which more or le make me a vegetarian , but I sure love the taste of a good burger .",Neither
167,You know what they call a Quarter Pounder with Cheese in France ?,Neither
168,No .,Neither
169,"Tell 'em , Vincent .",Neither
170,Royale with Cheese .,Neither
171,"Royale with Cheese , you know why they call it that ?",Neither
172,Because of the metric system ?,Neither
175,What is in this ?,Neither
176,Sprite .,Neither
177,"Sprite , good , mind if I have some of your tasty beverage to wash this down with ?",Neither
178,Sure .,Neither
179,"Uuuuummmm , hit is the spot !",Neither
180,"You , Flock of Seagulls , you know what we are here for ?",Neither
182,It is under the be –,Neither
184,( to Roger ) You were saying ?,Neither
185,It is under the bed .,Neither
186,Got it .,Neither
187,We happy ?,Neither
188,Vincent !,Neither
189,We happy ?,Neither
190,We are happy .,Neither
191,"Look , what is your name ? I got his name isVINCENT , but what is yours ?",Neither
194,"Oh , I am sorry . Did that break your concentration ? I did not mean to do that . Please , continue . I believe you were saying something about `` best intention . ''",Neither
196,What country you from !,Neither
197,What ?,Neither
199,What ?,Neither
201,Yes .,Neither
202,Then you understand what I am saying ?,Neither
203,Yes .,Neither
207,– go on !,Neither
208,... and he is ... he is ... bald –,Neither
210,What ?,Neither
211,Does-he-look-like-a-bitch ? !,Neither
212,No .,Neither
215,Yes .,Neither
220,I got no problem with that .,Neither
221,"In the fifth , your as go down .",Neither
222,Say it !,Neither
223,"In the fifth , my as go down .",Neither
225,Where is the big man ?,Neither
226,"He is over there , finishing up some business .",Neither
228,How 'bout a cup of just plain ol ' American ?,Neither
229,Coming up . I hear you are taking Mia out tomorrow ?,Neither
230,At Marsellus ' request .,Neither
231,ENGLISH DAVE,Neither
232,Have you met Mia ?,Neither
233,Not yet .,Neither
234,What is so funny ?,Neither
238,( to English Dave ) Can I get a pack ' a Red Apples ?,Neither
239,Filters ?,Neither
240,Non .,Neither
241,"Looking at something , friend ?",Neither
243,What wa that ?,Neither
244,"I think ya heard me just fine , punchy .",Neither
245,"Vincent Vega ha entered the building , git your as over here !",Neither
246,"Pack of Red Apples , dollar-forty .",Neither
247,... I will lend it to you . It is a great book on body piercing .,Neither
248,"You know how they use that gun when they pierce your ear ? They do not use that when they pierce your nipple , do they ?",Neither
252,"Vince , you can come in now !",Neither
253,"Now this is Panda , from Mexico . Very good stuff . This is Bava , different , but equally good . And this is Choco from the Hartz Mountains of Germany . Now the first two are the same , forty-five an ounce – those are friend price – but this one ...",Neither
257,That is a bold statement .,Neither
259,"Give me three hundred worth of the madman . If it is a good a you say , I will be back for a thousand .",Neither
262,I am on my way somewhere . I got a dinner engagement . Rain check ?,Neither
263,No problem ?,Neither
265,"Me casa , su casa .",Neither
266,Mucho gracias .,Neither
267,Still got your Malibu ?,Neither
275,"Hi , Vincent . I am getting dressed . The door is open . Come inside and make yourself a drink .",Neither
276,Hello ?,Neither
277,Vincent .,Neither
278,( over intercom ) Vincent . I am on the intercom .,Neither
280,( over intercom ) To your right .,Neither
281,... warm . Warmer . Disco .,Neither
282,Hello .,Neither
283,Push the button if you want to talk .,Neither
284,Hello .,Neither
285,"Go make yourself a drink. , and I will be down in two shake of a lamb is tail .",Neither
286,( over intercom ) The bar is by the fireplace .,Neither
287,Let is go .,Neither
289,This is Jackrabbit Slim is . An Elvis man should love it .,Neither
292,"After you , kitty-cat .",Neither
293,"Hi I am Buddy , what can I get'cha ?",Neither
294,I will have the Douglas Sirk steak .,Neither
297,BUDDY,Neither
299,I will have the Durwood Kirby burger – bloody – and a five-dollar shake .,Neither
300,"How d'ya want that shake , Martin and Lewis , or Amos and Andy ?",Neither
301,Martin and Lewis .,Neither
302,Did you just order a five-dollar shake ?,Neither
303,Sure did .,Neither
304,A shake ? Milk and ice cream ?,Neither
305,Uh-huh .,Neither
306,It cost five dollar ?,Neither
307,Yep .,Neither
308,You do not put bourbon in it or anything ?,Neither
309,Nope .,Neither
310,Just checking .,Neither
311,Whaddya think ?,Neither
312,It is like a wax museum with a pulse rate .,Neither
313,What are you doing ?,Neither
315,Here ?,Neither
317,"Oh . Well in that case , will you roll me one , cowboy ?",Neither
318,"You can have his one , cowgirl .",Neither
319,Think nothing of it .,Neither
321,Sure did . I heard you did a pilot .,Neither
323,What wa it ?,Neither
324,It wa show about a team of female secret agent called `` Fox Force Five . '',Neither
325,What ?,Neither
327,What wa your specialty ?,Neither
