,dialogue,label
0,"No , forget it , it is too risky . I am through doing that shit .",Offensive
1,"You always say that , the same thing every time : never again , I am through , too dangerous .",Offensive
7,"Quack , quack , quack , quack , quack , quack , quack ...",Offensive
8,"Well take heart , 'cause you are never gon na hafta hear it again . Because since I am never gon na do it again , you are never gon na hafta hear me quack about how I am never gon na do it again .",Offensive
16,"Fucking A it worked , that is what I am talking about ! Knucklehead walk in a bank with a telephone , not a pistol , not a shotgun , but a fucking phone , clean the place out , and they do not lift a fucking finger .",Offensive
19,You wan na rob bank ?,Offensive
22,"Naw , all those guy are going down the same road , either dead or serving twenty .",Offensive
25,I am not gon na kill anybody .,Offensive
32,( snotty ) `` Garcon '' mean boy .,Offensive
34,"Waitresses , forget it , they ai not taking a bullet for the register . Busboys , some wetback getting paid a dollar fifty a hour gon na really give a fuck you are stealing from the owner . Customers are sitting there with food in their mouth , they do not know what is going on . One minute they are having a Denver omelette , next minute somebody is sticking a gun in their face .",Offensive
43,"Pretty smart , huh ?",Offensive
49,"I love you , Honey Bunny .",Offensive
50,Everybody be cool this is a robbery !,Offensive
58,"That did it , man – I am fucking going , that is all there is to it .",Offensive
59,You will dig it the most . But you know what the funniest thing about Europe is ?,Offensive
65,"No , they got the metric system there , they would not know what the fuck a Quarter Pounder is .",Offensive
68,Royale with Cheese . What would they call a Big Mac ?,Offensive
70,Le Big Mac . What do they call a Whopper ?,Offensive
71,"I dunno , I did not go into a Burger King . But you know what they put on french fry in Holland instead of ketchup ?",Offensive
72,What ? Mayonnaise . Goddamn !,Offensive
75,We should have shotgun for this kind of deal .,Offensive
82,We should have fucking shotgun .,Offensive
86,"I dunno , however people meet people . She usta be an actress .",Offensive
87,She ever do anything I woulda saw ?,Offensive
97,"I would not go so far a to call the brother fat . He is got a weight problem . What is the nigger gon na do , he is Samoan .",Offensive
99,"Well , Marsellus fucked his as up good . And word around the campfire , it wa on account of Marsellus Wallace is wife .",Offensive
100,"What would he do , fuck her ?",Offensive
101,"No no no no no no no , nothing that bad .",Offensive
105,What did Marsellus do ?,Offensive
108,"Still I hafta say , play with match , ya get burned .",Offensive
112,"Antwan probably did not expect Marsellus to react like he did , but he had to expect a reaction .",Offensive
114,"It is laying hand on Marsellus Wallace is new wife in a familiar way . Is it a bad a eating her out – no , but you are in the same fucking ballpark .",Offensive
116,"Whoa ... whoa ... whoa ... stop right there . Eating a bitch out , and giving a bitch a foot massage ai not even the same fucking thing .",Offensive
118,"It ai not no ballpark either . Look maybe your method of massage differs from mine , but touching his lady is foot , and sticking your tongue in her holyiest of holyies , ai not the same ballpark , ai not the same league , ai not even the same fucking sport . Foot massage do not mean shit .",Offensive
120,Do not be telling me about foot massage – I am the foot fucking master .,Offensive
122,"Shit yeah . I got my technique down man , I do not tickle or nothing .",Offensive
123,Fuck you .,Offensive
126,"Man , you best back off , I am gitting pissed",Offensive
131,"Look , just because I would not give no man a foot massage , do not make it right for Marsellus to throw Antwan off a building into a glass-motherfuckin-house , fucking up the way the nigger talk . That ai not right , man . Motherfucker do that to me , he better paralyze my as , 'cause I would kill ' a motherfucker .",Offensive
132,"I am not saying he wa right , but you are saying a foot massage do not mean nothing , and I am saying it doe . I have given a million lady a million foot massage and they all meant something . We act like they do not , but they do . That is what is so fucking cool about 'em . This sensual thing is going on that nobody is talkin about , but you know",Offensive
133,"it and she know it , fuckin'Marsellus knew it , and Antwan shoulda known fucking better . That is his fucking wife , man . He ai not gon na have a sense of humor about that shit .",Offensive
140,You are gon na be takin'MIA Wallace out on a date ?,Offensive
141,It ai not a date . It is like when you and your buddy is wife go to a movie or something . It is just ... you know ... good company .,Offensive
143,Hey kid .,Offensive
164,"You wan na bite , they are real good .",Offensive
173,"Check out the big brain on Brett . You ' a smart motherfucker , that is",Offensive
174,right . The metric system .,Offensive
181,"Then why do not you tell my boy here Vince , where you got the shit hid .",Offensive
183,– I do not remember asking you a goddamn thing .,Offensive
192,"My name is Pitt , and you ai not talking your as outta this shit .",Offensive
193,"I just want you to know how sorry we are about how fucked up thing got between u and Mr. Wallace . When we entered into this thing , we only had the best intention –",Offensive
195,"Whatsamatter ? Oh , you were through anyway . Well , let me retort . Would you describe for me what Marsellus Wallace look like ?",Offensive
198,`` What '' ai not no country I know ! Do they speak English in `` What ? '',Offensive
200,English-motherfucker-can-you-speak-it ?,Offensive
204,Now describe what Marsellus Wallace look like !,Offensive
205,"Say `` What '' again ! C amon , say `` What '' again ! I dare ya , I double dare ya motherfucker , say `` What '' one more goddamn time !",Offensive
206,Now describe to me what Marsellus Wallace look like !,Offensive
209,– doe he look like a bitch ? !,Offensive
213,Then why did you try to fuck 'im like a bitch ? !,Offensive
217,"I think you are gon na find – when all this shit is over and done – I think you are gon na find yourself one smiling motherfucker . Thing is Butch , right now you got ability . But painful a it may be , ability do not last . Now that is a hard motherfucking fact of life , but it is a fact of life your as is gon na hafta git realistic about . This business is filled to the brim with unrealistic motherfucker who thought their as aged like wine .",Offensive
218,"Besides , even if you went all the way , what would you be ? Feather-weight champion of the world . Who give a shit ? I doubt you can even get a credit card based on that .",Offensive
219,"Now the night of the fight , you may fell a slight sting , that is pride fucking wit ya . Fuck pride ! Pride only hurt , it never help . Fight through that shit . 'Cause a year from now , when you are kicking it in the Caribbean you are gon na say , `` Marsellus Wallace wa right . ''",Offensive
235,Not a goddamn thing .,Offensive
236,"Look , I am not a idiot . She is the big man is fucking wife . I am gon na sit across a table , chew my food with my mouth closed , laugh at her joke and that is all I am gon na do .",Offensive
237,"My name is Paul , and this is between y'all .",Offensive
242,"I ai not your friend , palooka .",Offensive
249,"Forget that gun . That gun go against the entire idea behind piercing . All of my piercing , sixteen place on my body , every one of 'em done with a needle . Five in each ear . One through the nipple on my left breast . One through my right nostril . One through my left eyebrow . One through my lip . One in my clit . And I wear a stud in my tongue .",Offensive
250,"Excuse me , sorry to interrupt . I am curious , why would you get a stud in your tongue ?",Offensive
251,It is a sex thing . It help fellatio .,Offensive
254,"... this one is a little more expensive . It is fifty-five . But when you shoot it , you will know where that extra money went . Nothing wrong with the first two . It is real , real , real , good shit . But this one is a fucking madman .",Offensive
