,dialogue
0,"No, forget it, it's too risky. I'm through doin' that shit."
1,"You always say that, the same thing every time: never again, I'm through, too dangerous."
2,"I know that's what I always say. I'm always right too, but –"
3,"yeah, well, the days of me forgittin' are over, and the days of me rememberin' have just begun."
4,"When you go on like this, you know what you sound like?"
5,"I sound like a sensible fucking man, is what I sound like."
6,You sound like a duck.
7,"Quack, quack, quack, quack, quack, quack, quack..."
8,"Well take heart, 'cause you're never gonna hafta hear it again. Because since I'm never gonna do it again, you're never gonna hafta hear me quack about how I'm never gonna do it again."
9,After tonight.
10,Correct. I got all tonight to quack.
11,Can I get anybody anymore coffee?
12,"Oh yes, thank you."
13,I'm doin' fine.
14,"I mean the way it is now, you're takin' the same fuckin' risk as when you rob a bank. You take more of a risk. Banks are easier! Federal banks aren't supposed to stop you anyway, during a robbery. They're insured, why should they care? You don't even need a gun in a federal bank. I heard about this guy, walked into a federal bank with a portable phone, handed the phone to the teller, the guy on the other end of the phone said: ""We got this guy's little girl, and if you don't give him all your money, we're gonna kill 'er."""
15,Did it work?
16,"Fuckin' A it worked, that's what I'm talkin' about! Knucklehead walks in a bank with a telephone, not a pistol, not a shotgun, but a fuckin' phone, cleans the place out, and they don't lift a fuckin' finger."
17,Did they hurt the little girl?
18,I don't know. There probably never was a little girl – the point of the story isn't the little girl. The point of the story is they robbed the bank with a telephone.
19,You wanna rob banks?
20,"I'm not sayin' I wanna rob banks, I'm just illustrating that if we did, it would be easier than what we been doin'."
21,So you don't want to be a bank robber?
22,"Naw, all those guys are goin' down the same road, either dead or servin' twenty."
23,And no more liquor stores?
24,"What have we been talking about? Yeah, no- more-liquor-stores. Besides, it ain't the giggle it usta be. Too many foreigners own liquor stores. Vietnamese, Koreans, they can't fuckin' speak English. You tell 'em: ""Empty out the register,"" and they don't know what it fuckin' means. They make it too personal. We keep on, one of those gook motherfuckers' gonna make us kill 'em."
25,I'm not gonna kill anybody.
26,"I don't wanna kill anybody either. But they'll probably put us in a situation where it's us of them. And if it's not the gooks, it these old Jews who've owned the store for fifteen fuckin' generations. Ya got Grandpa Irving sittin' behind the counter with a fuckin' Magnum. Try walkin' into one of those stores with nothin' but a telephone, see how far it gets you. Fuck it, forget it, we're out of it."
27,"Well, what else is there, day jobs?"
28,(laughing) Not this life.
29,Well what then?
30,Garcon! Coffee!
31,This place.
32,"(snotty) ""Garcon"" means boy."
33,"Correct. Just like banks, these places are insured. The managers don't give a fuck, they're just tryin' to get ya out the door before you start pluggin' diners."
34,"Waitresses, forget it, they ain't takin' a bullet for the register. Busboys, some wetback gettin' paid a dollar fifty a hour gonna really give a fuck you're stealin' from the owner. Customers are sittin' there with food in their mouths, they don't know what's goin' on. One minute they're havin' a Denver omelette, next minute somebody's stickin' a gun in their face."
35,"See, I got the idea last liquor store we stuck up. 'Member all those customers kept comin' in?"
36,They you got the idea to take everybody's wallet.
37,That was a good idea.
38,Thanks.
39,We made more from the wallets then we did the register.
40,Yes we did.
41,A lot of people go to restaurants.
42,A lot of wallets.
43,"Pretty smart, huh?"
44,Pretty smart.
45,"I'm ready, let's go, right here, right now."
46,"Remember, same as before, you're crowd control, I handle the employees."
47,Got it.
48,"I love you, Pumpkin."
49,"I love you, Honey Bunny."
50,Everybody be cool this is a robbery!
51,Any of you fuckin' pricks move and I'll execute every one of you motherfuckers! Got that?
52,"– Okay now, tell me about the hash bars?"
53,What so you want to know?
54,"Well, hash is legal there, right?"
55,"Yeah, it's legal, but is ain't a hundred percent legal. I mean you can't walk into a restaurant, roll a joint, and start puffin' away. You're only supposed to smoke in your home or certain designated places."
56,Those are hash bars?
57,"Yeah, it breaks down like this: it's legal to buy it, it's legal to own it and, if you're the proprietor of a hash bar, it's legal to sell it. It's legal to carry it, which doesn't really matter 'cause – get a load of this – if the cops stop you, it's illegal for this to search you. Searching you is a right that the cops in Amsterdam don't have."
58,"That did it, man – I'm fuckin' goin', that's all there is to it."
59,You'll dig it the most. But you know what the funniest thing about Europe is?
60,What?
61,"It's the little differences. A lotta the same shit we got here, they got there, but there they're a little different."
62,Examples?
63,"Well, in Amsterdam, you can buy beer in a movie theatre. And I don't mean in a paper cup either. They give you a glass of beer, like in a bar. In Paris, you can buy beer at MacDonald's. Also, you know what they call a Quarter Pounder with Cheese in Paris?"
64,They don't call it a Quarter Pounder with Cheese?
65,"No, they got the metric system there, they wouldn't know what the fuck a Quarter Pounder is."
66,What'd they call it?
67,Royale with Cheese.
68,Royale with Cheese. What'd they call a Big Mac?
69,"Big Mac's a Big Mac, but they call it Le Big Mac."
70,Le Big Mac. What do they call a Whopper?
71,"I dunno, I didn't go into a Burger King. But you know what they put on french fries in Holland instead of ketchup?"
72,What? Mayonnaise. Goddamn!
73,"I seen 'em do it. And I don't mean a little bit on the side of the plate, they fuckin' drown 'em in it."
74,Uuccch!
75,We should have shotguns for this kind of deal.
76,How many up there?
77,Three or four.
78,Counting our guy?
79,I'm not sure.
80,So there could be five guys up there?
81,It's possible.
82,We should have fuckin' shotguns.
83,What's her name?
84,Mia.
85,How did Marsellus and her meet?
86,"I dunno, however people meet people. She usta be an actress."
87,She ever do anything I woulda saw?
88,I think her biggest deal was she starred in a pilot.
89,What's a pilot?
90,"Well, you know the shows on TV?"
91,I don't watch TV.
92,"Yes, but you're aware that there's an invention called television, and on that invention they show shows?"
93,Yeah.
94,"Well, the way they pick the shows on TV is they make one show, and that show's called a pilot. And they show that one show to the people who pick the shows, and on the strength of that one show, they decide if they want to make more shows. Some get accepted and become TV programs, and some don't, and become nothing. She starred in one of the ones that became nothing."
95,"You remember Antwan Rockamora? Half-black, half-Samoan, usta call him Tony Rocky Horror."
